"","p","p.adj","eta1","mean1","sd1","eta2","mean2","sd2","mod.pool.var"
"Asaia",0.0496308204510968,1,0.428571428571429,-3.74737638507172,1.00571330095404,0.75,-1.92121736489317,0.645696076134304,0.95819839059262
"Halothece",0.0526408977817668,1,0.571428571428571,-4.37641140205023,0.391811512513754,1,-5.01727983681492,1e-06,0.93284430108919
"Thiorhodovibrio",0.0526408977817668,1,0.571428571428571,-4.37641140205023,0.391811512513754,1,-5.01727983681492,1e-06,0.93284430108919
"Candidatus_Saccharimonas",0.0528681153379222,1,0.571428571428571,-3.63373487069628,1.56304926945918,0.5,-1.80317596685491,1.21784082273328,1.2947696909985
"Magnetospirillum",0.0532330158685712,1,0.142857142857143,-3.9157169528256,0.84168804868392,0.5,-2.71503892214841,0.593905340880366,0.806027489952021
"Candidatus_Cardinium",0.0535927793039411,1,0.857142857142857,-1.60534792718258,1e-06,0.75,-4.17295900790457,0.558924858477965,0.933348656887541
"Caldicellulosiruptor",0.0542359602107555,1,0.571428571428571,-3.99894673546647,0.633673470297854,1,-5.01727983681492,1e-06,0.979481953071572
"X.Diptera.",0.0553501556601489,1,0.714285714285714,-0.668759413579415,2.83267716744354,0.5,-3.01300129842559,1.30714248396575,1.66943457717255
"Ceratitis",0.0567502152939671,1,0.857142857142857,0,1e-06,0.625,-2.59354190257166,1.32487582200029,1.12798510461589
"Nitritalea",0.0583565211212257,1,0.857142857142857,-1.97135196306695,1e-06,0.75,-4.44452464519618,0.174873051145673,0.906852914280195
"Riemerella",0.058490810806439,1,0.714285714285714,-1.63051726738232,0.123056404966938,0.75,-3.54246196797519,0.192191359744872,0.830767403488643
"Citrobacter",0.0586112740328945,1,0.142857142857143,-2.90410258693076,0.824700394559278,0.25,-1.85527863709947,0.781976261354386,0.818538436115926
"X.Oxalobacteraceae.",0.0599789034559899,1,0.285714285714286,-0.77457259809437,0.648996762465426,0.625,0.53540600904746,0.684071369803009,0.782517113793102
"Bergeyella",0.0635007852136704,1,0.571428571428571,-3.43561486436639,1.08223086595137,1,-5.01727983681492,1e-06,1.12420940023164
"X.Candidatus_Saccharibacteria.",0.0641970343663432,1,0.142857142857143,-1.69704448246274,1.6404406705063,0.25,-0.244944159612502,1.35834516904712,1.64469488097698
"Devosia",0.0660163385618633,1,0.142857142857143,-3.12344790626145,0.404769077463341,0.625,-1.90256878329389,1.08998920806921,0.770022224641639
"Mucispirillum",0.0668539469823992,1,1,-5.27299955856375,1e-06,0.625,-3.70305862576684,1.1087481779384,1.13513405018766
"Dyadobacter",0.0712354911734589,1,0.428571428571429,-1.95440173301978,0.609183982661894,0.625,-0.657530638868051,0.461426379226249,0.762086159968068
